TradeYear,Y,Size,Tenure,Distance,RoomNumber,Youseki,Reform
2019,17.182806387950748,30,14,2,1,800,0
2024,18.420680743952367,70,45,7,2,400,1
2024,17.45309671769066,45,45,7,1,400,0
2019,17.281246460764002,40,40,7,1,400,0
2024,18.82614585206053,65,10,3,2,400,0
2019,18.683045008419857,70,5,3,3,600,0
2019,19.3761921889798,100,5,3,2,600,0
2024,19.06253463012476,85,11,2,3,500,0
2024,19.519293032620475,90,21,4,3,400,1
2024,18.951308995014536,60,19,3,2,400,1
2024,19.06253463012476,80,23,5,2,400,0
2024,19.755681810684706,105,7,5,2,400,0
2024,19.33697147582652,85,7,5,2,400,0
2024,17.840862248699423,50,39,4,2,400,1
2024,18.82614585206053,65,6,2,3,400,0
2024,16.588099280204055,20,46,6,1,400,0
2024,18.159315979817958,50,20,4,1,400,0
2019,17.72753356339242,50,7,9,2,400,0
2019,18.146243898250606,65,15,5,2,400,1
2019,17.111347423968603,20,15,4,1,400,0
2019,18.0051652999907,55,2,6,2,400,0
2019,17.98989782785991,55,2,6,2,400,0
2019,17.974393641323946,55,5,3,2,400,0
2024,17.858561825798823,55,25,9,1,400,0
2024,17.073607095985757,15,22,3,1,500,0
2024,17.034386382832476,20,22,3,1,500,0
2024,17.111347423968603,20,21,2,1,700,0
2024,17.073607095985757,20,22,3,1,500,0
2019,16.99356438831222,20,16,2,1,700,0
2019,17.073607095985757,20,11,3,1,700,0
2019,17.111347423968603,20,11,3,1,700,0
2024,18.03501826314038,55,24,4,1,500,0
2019,17.034386382832476,20,19,3,1,500,0
2019,16.523560759066484,15,37,2,1,500,1
2019,17.073607095985757,15,19,3,1,500,0
2019,17.665658159674333,55,19,4,2,500,0
2019,16.860032995687696,20,19,3,1,500,0
2019,17.034386382832476,20,19,3,1,500,0
2024,18.400478036634848,70,16,6,2,500,0
2024,18.269857854217783,70,8,6,3,500,0
2024,18.0051652999907,60,21,4,2,400,0
2024,18.31532022829454,50,14,1,1,600,0
2024,18.132998671500584,55,12,3,2,600,0
2024,17.182806387950748,20,22,5,1,400,0
2024,17.399029496420383,25,9,3,1,600,0
2024,19.209138104316636,95,1,2,3,400,0
2024,19.008467408854486,85,8,6,2,500,0
2024,18.51599092375669,80,16,6,3,500,0
2024,18.105969999112666,40,8,6,1,500,0
2024,18.197537192638155,65,16,6,1,500,0
2024,17.111347423968603,30,51,10,1,400,0
2024,18.304146927696415,70,22,4,3,400,1
2024,18.75715298057358,70,8,6,2,500,0
2024,19.11382792451231,75,1,4,3,400,0
2024,18.222229805228526,65,17,8,2,400,0
2024,17.576710673657836,30,3,9,1,400,0
2024,18.683045008419857,60,1,4,2,400,0
2024,19.11382792451231,55,12,3,2,600,1
2024,18.683045008419857,80,16,6,3,500,0
2024,18.951308995014536,100,16,6,3,500,0
2024,19.008467408854486,75,1,4,3,400,0
2024,18.420680743952367,55,8,6,2,500,0
2024,18.60300230074632,80,16,6,3,500,0
2024,18.234351165760874,65,8,6,1,500,0
2024,18.146243898250606,40,1,2,1,400,1
2024,16.90655301132259,20,21,3,1,600,0
2024,19.209138104316636,85,1,4,3,400,0
2024,18.132998671500584,50,8,6,1,500,0
2024,17.64415195445337,50,21,4,1,400,0
2024,18.197537192638155,55,8,6,1,500,0
2024,18.197537192638155,55,8,6,1,500,0
2024,19.209138104316636,105,16,6,3,500,0
2024,18.222229805228526,60,17,8,3,400,1
2024,19.008467408854486,85,8,6,2,500,1
2024,17.553180176247643,40,16,4,1,400,1
2024,17.281246460764002,55,52,3,2,400,0
2024,17.281246460764002,55,52,3,2,400,0
2024,18.420680743952367,50,1,2,1,400,0
2024,18.951308995014536,105,16,6,2,500,0
2019,18.951308995014536,105,11,6,2,400,1
2019,17.958645284355807,55,3,6,1,400,0
2019,16.811242831518264,30,47,3,1,400,1
2019,17.7473361906886,70,16,4,2,400,0
2019,17.875953568510692,60,11,6,1,400,0
2019,17.4264284706085,60,22,10,3,400,0
2019,17.72753356339242,55,5,3,2,400,0
2019,16.951004773893423,20,17,5,1,400,0
2019,17.80449460452855,55,5,2,1,600,1
2019,17.72753356339242,50,11,6,1,400,0
2019,18.269857854217783,80,3,6,2,400,0
2019,18.064005800013632,70,11,6,2,400,0
2019,16.70588231586044,30,45,1,2,600,0
2019,17.111347423968603,20,17,5,1,400,0
2019,17.622173047734595,60,19,9,2,400,1
2019,18.105969999112666,75,19,9,3,400,1
2019,17.7667542765457,55,11,6,1,400,0
2019,18.0051652999907,55,3,6,2,400,0
2019,18.184958410431296,85,11,6,3,400,0
2019,18.064005800013632,55,9,1,2,600,0
2019,18.064005800013632,85,11,6,3,400,0
2019,17.576710673657836,60,12,8,3,400,0
2019,15.80338490611862,15,45,1,1,600,0
2019,18.222229805228526,85,19,5,3,400,0
2019,17.686711568872166,50,5,2,2,600,0
2019,17.958645284355807,55,3,6,1,400,0
2019,17.599700191882537,60,20,3,2,600,0
2019,17.80449460452855,60,19,10,2,400,0
2019,17.840862248699423,75,19,9,3,400,0
2019,17.073607095985757,35,46,10,2,400,1
2019,18.326370064481125,90,11,6,4,400,0
2019,17.622173047734595,55,7,8,2,400,0
2019,17.909855120186375,65,5,3,3,400,0
2019,17.942644943009366,65,17,1,3,400,1
2019,18.683045008419857,105,11,6,3,400,1
2019,18.132998671500584,60,9,1,1,600,0
2019,18.222229805228526,65,9,1,2,600,0
2019,17.622173047734595,55,3,6,2,400,0
2019,17.7073308560749,50,5,3,2,400,0
2024,17.312018119430753,20,20,6,1,800,0
2019,17.111347423968603,20,15,6,1,800,0
2019,17.111347423968603,20,16,4,1,800,0
2024,17.529082624668582,30,25,3,1,700,0
2024,17.37085861945369,20,20,3,1,700,0
2024,17.37085861945369,20,20,3,1,700,0
2019,17.399029496420383,30,16,2,1,700,0
2019,17.98989782785991,55,16,2,2,700,0
2024,17.893048001869992,35,20,2,1,600,0
2024,18.60300230074632,50,22,1,2,600,1
2024,18.049617062561534,30,22,1,1,600,1
2024,18.078190435005588,55,21,3,2,600,0
2019,17.822843743196746,40,14,2,2,600,0
2019,17.182806387950748,25,7,3,1,600,0
2019,17.45309671769066,25,16,3,1,600,0
2019,17.312018119430753,25,15,1,1,600,0
2024,16.90655301132259,25,12,7,1,500,0
2024,18.420680743952367,90,26,9,3,700,1
2024,16.523560759066484,20,47,3,1,500,0
2024,16.811242831518264,35,46,8,1,700,1
2019,16.213405830762646,20,42,3,1,500,0
2019,17.576710673657836,50,16,5,2,700,0
2019,16.90655301132259,30,16,5,1,700,1
2019,16.811242831518264,40,41,8,1,700,0
2019,17.926384422137584,70,21,6,2,500,0
2024,17.111347423968603,20,22,4,1,500,1
2024,18.258161814454592,65,22,5,1,500,0
2024,16.99356438831222,20,25,7,1,700,0
2024,18.34811005111753,50,5,5,2,500,0
2024,17.7667542765457,35,20,4,1,500,0
2024,18.172219384653864,50,5,5,1,500,0
2024,17.034386382832476,20,19,7,1,500,0
2024,17.182806387950748,25,12,7,1,700,0
2019,17.47907220409392,40,14,7,1,500,0
2019,17.073607095985757,25,7,7,1,700,0
2019,17.942644943009366,55,4,7,2,500,0
2019,17.875953568510692,65,18,8,2,500,0
2019,17.37085861945369,30,15,4,1,500,0
2019,18.049617062561534,65,4,7,3,500,0
2019,17.50439001207821,40,14,9,1,700,0
2019,18.0051652999907,70,15,4,3,700,0
2019,17.034386382832476,20,20,7,1,700,0
2019,15.86963429165982,15,45,1,1,700,0
2019,17.111347423968603,30,19,4,1,500,0
2019,17.665658159674333,50,14,7,1,500,0
2019,17.622173047734595,60,15,3,2,700,0
2019,17.974393641323946,70,14,7,3,500,0
2019,18.51599092375669,85,4,4,3,500,0
2024,17.665658159674333,30,26,1,1,600,1
2024,17.840862248699423,40,17,3,1,600,0
2024,18.75715298057358,70,23,3,3,600,1
2024,19.11382792451231,85,11,3,2,600,0
2024,17.622173047734595,40,26,1,1,600,0
2019,18.51599092375669,65,4,1,2,600,0
2019,17.926384422137584,60,17,1,2,600,0
2024,17.24949776244942,20,20,2,1,600,0
2024,18.683045008419857,55,12,2,2,600,1
2024,17.182806387950748,20,17,1,1,600,1
2019,16.70588231586044,20,17,1,1,500,0
2019,17.14771506813948,35,48,1,1,700,1
2019,17.341871082580436,40,48,1,1,700,1
2019,16.951004773893423,15,19,1,1,600,0
2019,17.553180176247643,40,15,2,1,600,0
2024,16.90655301132259,20,26,2,1,500,0
2024,17.958645284355807,60,42,7,2,500,1
2024,17.686711568872166,45,42,2,2,800,0
2024,18.400478036634848,75,24,5,3,500,0
2024,17.893048001869992,40,12,6,1,500,0
2024,18.31532022829454,85,19,3,3,500,0
2024,18.197537192638155,35,24,5,1,500,0
2024,17.875953568510692,35,7,1,1,700,0
2024,16.951004773893423,20,22,5,1,500,0
2019,17.312018119430753,40,37,3,1,600,1
2019,17.840862248699423,60,20,5,1,500,0
2019,16.951004773893423,30,30,3,1,500,0
2019,17.785802471516394,45,12,2,2,700,0
2019,17.64415195445337,35,9,4,1,500,0
2019,17.4264284706085,65,38,4,3,700,0
2019,18.064005800013632,60,4,4,2,500,0
2019,17.073607095985757,20,14,3,1,500,0
2024,16.454567887579532,20,45,3,1,600,0
2024,17.14771506813948,25,45,4,1,600,1
2024,16.759949537130716,15,45,4,1,600,1
2019,16.454567887579532,20,40,4,1,600,0
2019,17.073607095985757,35,47,3,1,600,0
2019,16.38045991542581,15,40,4,1,600,0
2019,16.38045991542581,20,40,4,1,600,0
