Price,Size,Tenure,DistanceStation,Reform
3.6109179126442243,40,4,4,0
3.9318256327243257,40,21,3,0
3.044522437723423,20,24,2,0
3.044522437723423,20,24,2,0
2.9444389791664403,20,20,2,0
3.4965075614664802,25,6,3,0
4.31748811353631,50,18,1,0
3.9889840465642745,40,12,3,0
4.941642422609304,70,18,1,0
3.8501476017100584,35,7,2,0
5.393627546352362,100,18,1,0
3.5553480614894135,30,12,1,0
3.2188758248682006,25,12,1,1
3.5553480614894135,30,12,1,1
3.784189633918261,35,2,2,0
3.4339872044851463,30,10,3,0
3.828641396489095,50,13,3,0
2.9444389791664403,20,14,4,0
4.04305126783455,50,4,3,0
3.6888794541139363,25,3,2,0
4.584967478670572,55,3,2,0
2.995732273553991,20,13,3,1
3.1780538303479458,20,13,3,0
4.02535169073515,40,1,3,0
4.04305126783455,50,13,1,1
3.1780538303479458,25,15,2,0
3.2188758248682006,20,12,3,0
2.6390573296152584,15,46,4,0
2.70805020110221,15,40,3,0
2.5649493574615367,15,40,3,0
2.5649493574615367,15,42,4,0
2.8903717578961645,20,42,4,0
3.295836866004329,20,17,2,1
3.2188758248682006,20,16,1,0
3.295836866004329,20,17,2,0
3.4011973816621555,30,10,2,0
3.4339872044851463,20,14,2,0
3.6375861597263857,30,14,2,0
3.4011973816621555,25,12,2,0
3.2188758248682006,20,10,4,0
3.295836866004329,20,10,4,0
4.04305126783455,50,10,4,0
3.1354942159291497,25,12,3,0
3.332204510175204,20,16,3,0
3.2188758248682006,20,16,3,0
3.2188758248682006,25,12,3,0
3.1780538303479458,20,12,4,0
3.1780538303479458,20,12,3,0
3.9512437185814275,40,10,4,1
3.8066624897703196,40,6,4,0
3.2188758248682006,20,14,5,0
3.295836866004329,20,14,6,0
3.2188758248682006,20,14,6,0
3.2188758248682006,20,19,4,0
4.430816798843313,55,3,5,0
3.258096538021482,20,19,4,0
3.295836866004329,20,18,4,0
3.2188758248682006,20,14,4,0
4.0943445622221,50,19,5,0
3.044522437723423,20,14,4,0
4.0943445622221,40,15,2,0
2.9444389791664403,25,18,2,0
2.995732273553991,20,14,2,0
3.295836866004329,20,4,3,0
3.2188758248682006,30,8,3,0
3.7612001156935624,25,4,1,0
4.48863636973214,50,4,1,0
3.1354942159291497,20,23,4,0
4.0943445622221,55,41,2,1
3.2188758248682006,20,21,1,0
3.091042453358316,20,41,2,1
2.6390573296152584,20,37,1,0
3.2188758248682006,20,17,1,1
4.605170185988092,55,8,2,1
2.995732273553991,20,36,2,0
3.367295829986474,30,14,6,0
4.406719247264253,60,9,4,1
4.204692619390966,60,19,8,0
4.430816798843313,70,17,8,0
6.0867747269123065,150,13,8,0
4.700480365792417,105,25,1,0
3.4965075614664802,25,5,5,0
3.4965075614664802,25,5,5,0
4.04305126783455,55,35,2,1
3.6375861597263857,45,36,1,0
3.4965075614664802,25,21,3,0
5.247024072160486,90,18,3,1
3.8066624897703196,65,42,1,0
3.367295829986474,25,17,3,1
4.941642422609304,85,14,3,0
3.258096538021482,25,36,3,0
3.367295829986474,40,51,6,0
3.871201010907891,55,48,5,0
3.1780538303479458,30,47,6,1
3.784189633918261,45,48,5,1
4.941642422609304,90,50,4,0
5.480638923341991,125,18,5,1
4.787491742782046,65,7,4,0
4.867534450455582,90,20,6,0
5.438079308923196,95,7,4,0
5.19295685089021,85,3,4,1
4.700480365792417,85,14,3,0
5.0106352940962555,95,14,3,0
3.2188758248682006,20,15,6,0
5.0106352940962555,125,17,2,0
4.543294782270004,60,17,2,1
4.382026634673881,70,13,2,0
4.356708826689592,70,13,5,0
3.332204510175204,20,17,4,0
3.7376696182833684,40,8,7,0
3.258096538021482,20,13,5,0
4.532599493153256,65,11,6,0
3.5553480614894135,30,7,6,0
3.1780538303479458,20,17,2,1
2.70805020110221,20,13,1,0
3.332204510175204,30,12,2,1
4.700480365792417,65,3,2,0
4.394449154672439,50,3,2,0
3.295836866004329,20,12,2,1
3.1780538303479458,20,12,2,0
5.393627546352362,120,9,2,0
4.941642422609304,110,9,2,0
5.0106352940962555,95,51,1,0
3.1780538303479458,20,39,1,1
3.091042453358316,20,39,1,1
4.941642422609304,85,17,1,0
2.8903717578961645,20,35,1,1
4.406719247264253,50,2,2,0
3.4011973816621555,35,34,2,0
4.189654742026425,50,16,8,0
3.8501476017100584,50,12,8,0
4.700480365792417,70,6,1,1
3.4965075614664802,30,15,2,0
2.833213344056216,25,15,4,0
4.007333185232471,55,4,4,0
2.3978952727983707,20,37,4,0
3.9889840465642745,65,20,6,1
3.332204510175204,30,14,4,1
3.784189633918261,35,9,5,0
3.258096538021482,25,19,6,0
3.7376696182833684,35,9,5,0
3.295836866004329,20,20,3,0
3.5553480614894135,35,5,5,0
3.871201010907891,50,11,4,0
3.1780538303479458,20,12,5,0
3.2188758248682006,20,12,6,0
3.044522437723423,20,12,6,0
3.258096538021482,25,16,3,0
3.091042453358316,25,15,5,0
3.295836866004329,30,11,4,0
3.4657359027997265,30,10,4,0
3.2188758248682006,20,17,4,0
3.2188758248682006,20,17,4,0
4.1588830833596715,65,16,2,0
4.219507705176107,50,6,2,0
4.143134726391533,50,6,2,0
2.9444389791664403,20,17,4,0
4.31748811353631,55,6,2,0
3.1780538303479458,20,16,4,0
3.044522437723423,20,13,3,1
2.9444389791664403,25,42,7,0
5.438079308923196,125,8,1,0
4.07753744390572,40,3,2,0
2.772588722239781,20,35,3,0
4.5217885770490405,65,18,2,0
